,complex_nm,trains,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17
76,4 Av /9 St,F G R,4300400.0,4210873.0,4120946.0,4199208.0,4138758.0,4323467.0,11946.0,12059.0,12497.0,12810.0,13180.0,13894,14459.0,13945.0,14553.0,16290.0,16191.0,18871
77,45 St,R,2255877.0,2251217.0,2323521.0,2321241.0,2228315.0,2390684.0,13471.0,13156.0,12835.0,13126.0,13116.0,13962,17155.0,15869.0,15711.0,15860.0,14654.0,14351
78,50 St,D,941157.0,1021409.0,1009971.0,968612.0,1012356.0,986060.0,7070.0,6978.0,7208.0,7265.0,7055.0,7877,8898.0,8689.0,8938.0,8620.0,7805.0,7054
79,53 St,R,2357449.0,2387370.0,2405353.0,2374338.0,2334471.0,1187907.0,3172.0,3308.0,3289.0,3220.0,3336.0,3236,2648.0,3233.0,3102.0,2672.0,2902.0,2934
80,55 St,D,546080.0,601931.0,603320.0,595157.0,665488.0,632198.0,7476.0,7479.0,7512.0,7458.0,7386.0,3788,8897.0,8842.0,9007.0,8678.0,8148.0,4009
81,59 St,N R,3848745.0,3968334.0,4094658.0,4158863.0,4169280.0,5326789.0,1859.0,1964.0,1981.0,2002.0,2223.0,2106,1445.0,1824.0,1767.0,1525.0,1758.0,1729
82,7 Av,B Q,2824839.0,2905400.0,2932926.0,2980366.0,2943272.0,3236816.0,12317.0,12506.0,12871.0,13048.0,13144.0,16759,14029.0,14372.0,14966.0,15344.0,14917.0,19650
83,7 Av,F G,3699471.0,3904986.0,3886594.0,3780126.0,3700321.0,3623053.0,9408.0,9389.0,9495.0,9641.0,9731.0,10270,8739.0,9483.0,9492.0,9731.0,8581.0,11619
84,71 St,D,1191257.0,1446020.0,1481633.0,1487929.0,2029479.0,1854361.0,12118.0,12268.0,12242.0,12049.0,11897.0,11801,12271.0,14456.0,14246.0,13202.0,12325.0,11570
85,77 St,R,1600644.0,1645262.0,1711410.0,1723178.0,1743795.0,1980011.0,4007.0,4538.0,4682.0,4802.0,6501.0,5905,3398.0,5314.0,5271.0,4808.0,6732.0,6434
86,79 St,D,1651785.0,1949861.0,2041896.0,2043471.0,2137349.0,2032937.0,5306.0,5353.0,5548.0,5608.0,5720.0,6746,5040.0,5208.0,5509.0,5448.0,5247.0,4881
87,8 Av,N,3559576.0,3677764.0,3851372.0,3796909.0,4586559.0,4088721.0,5612.0,6293.0,6617.0,6755.0,6973.0,6565,4500.0,6358.0,6504.0,5856.0,6494.0,6630
88,86 St,N,811332.0,801109.0,837472.0,859293.0,419039.0,494456.0,10613.0,10873.0,11341.0,11430.0,14201.0,12514,16292.0,16484.0,17434.0,15960.0,17252.0,16278
89,86 St,R,3515085.0,3662602.0,3753132.0,3747601.0,3752400.0,3516712.0,2552.0,2515.0,2622.0,2718.0,1298.0,1534,3159.0,2934.0,3090.0,3023.0,1578.0,1900
90,9 Av,D,1668767.0,1896942.0,1938987.0,1843944.0,1858368.0,1737192.0,11313.0,11648.0,11920.0,11963.0,12078.0,11742,12582.0,12819.0,13178.0,12889.0,12263.0,9662
91,Alabama Av,J,772447.0,770075.0,784998.0,814578.0,834945.0,755935.0,5440.0,5857.0,6004.0,5856.0,5867.0,5471,5531.0,7383.0,7466.0,6372.0,6541.0,6297
92,Atlantic Av-Barclays Ctr,B D N Q R 2 3 4 5,11526090.0,13122876.0,13617153.0,13690678.0,13818168.0,13571093.0,2464.0,2443.0,2448.0,2520.0,2585.0,2424,2844.0,2687.0,2948.0,3163.0,3206.0,2540
93,Atlantic Av,L,444960.0,482835.0,535041.0,422505.0,436300.0,557103.0,35670.0,39871.0,41645.0,42231.0,42711.0,42095,47970.0,54754.0,55601.0,54221.0,53638.0,53133
94,Avenue H,Q,823237.0,875106.0,896279.0,899662.0,952855.0,1006747.0,1487.0,1580.0,1725.0,1384.0,1455.0,1821,1326.0,1474.0,1752.0,1267.0,1179.0,1728
95,Avenue I,F,684241.0,699582.0,696140.0,672710.0,585217.0,326469.0,2714.0,2861.0,2961.0,2994.0,3183.0,3329,2632.0,2669.0,2584.0,2506.0,2590.0,2948
96,Avenue J,Q,1807574.0,1867576.0,1850087.0,1848674.0,1867727.0,1912497.0,2284.0,2283.0,2250.0,2235.0,1962.0,1111,2046.0,2146.0,2236.0,1874.0,1529.0,783
97,Avenue M,Q,1608901.0,1730576.0,1731955.0,1733583.0,1776762.0,1828941.0,5974.0,6036.0,6060.0,6009.0,6136.0,6154,5679.0,5994.0,5528.0,5782.0,5524.0,6327
98,Avenue N,F,1012534.0,1044429.0,1050916.0,1027713.0,941921.0,643200.0,5544.0,5836.0,5903.0,5869.0,6052.0,6094,4030.0,4429.0,4111.0,4345.0,4246.0,5091
99,Avenue P,F,825620.0,861095.0,864424.0,858733.0,809816.0,534727.0,3390.0,3411.0,3419.0,3410.0,3187.0,2217,2983.0,3202.0,3282.0,2888.0,2320.0,1417
100,Avenue U,F,707595.0,717486.0,699414.0,716715.0,772331.0,373322.0,2705.0,2757.0,2767.0,2804.0,2688.0,1821,2703.0,2899.0,2909.0,2628.0,2244.0,1290
101,Avenue U,N,1297870.0,1211062.0,1251276.0,1253349.0,456533.0,734714.0,2302.0,2296.0,2215.0,2439.0,2578.0,1276,2408.0,2429.0,2483.0,1715.0,2080.0,875
102,Avenue U,Q,2071874.0,2176073.0,2175035.0,2231577.0,2332985.0,2360833.0,3980.0,3738.0,3857.0,3894.0,1399.0,2285,5533.0,4745.0,4915.0,4767.0,1795.0,2803
103,Avenue X,F,860597.0,908520.0,892170.0,589962.0,727220.0,738274.0,6694.0,6821.0,6922.0,6975.0,7384.0,7391,7233.0,8015.0,7500.0,8322.0,8188.0,8804
104,Bay 50 St,D,777836.0,847843.0,884302.0,872953.0,972937.0,900508.0,2877.0,2972.0,2859.0,1928.0,2424.0,2508,2589.0,2783.0,2999.0,1817.0,1988.0,1822
105,Bay Pkwy,D,2038864.0,2298420.0,2362284.0,2368617.0,2578524.0,2502105.0,2632.0,2793.0,2875.0,2872.0,3176.0,2926,2168.0,2492.0,2784.0,2575.0,2960.0,2854
106,Bay Pkwy,F,464906.0,487308.0,478322.0,460536.0,406793.0,214153.0,6726.0,7111.0,7322.0,7501.0,8069.0,7837,6444.0,8927.0,9097.0,8350.0,9471.0,9306
