,complex_id,complex_nm_old,complex_nm,trains_old,trains,station_ct,bcode,stop_lat,stop_lon,tot2007,tot2008,tot2009,tot2010,tot2011,tot2012,tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy07,avwkdy08,avwkdy09,avwkdy10,avwkdy11,avwkdy12,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,avwken07,avwken08,avwken09,avwken10,avwken11,avwken12,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18,srv_notes,unique_id
40,bx041,Hunts Point Av,Hunts Point Av,6,6,1.0,36005.0,40.820948,-73.890549,3132363.0,3255048.0,3244240.0,3248970.0,3191706.0,3204779.0,3158343.0,3138131.0,3305563.0,3269585.0,3243725.0,3216569.0,10242.0,10612.0,10512.0,10494.0,10316.0,10389.0,10144.0,10111.0,10484.0,10651.0,10646.0,10460.0,9659.0,9951.0,10411.0,10609.0,10510.0,11168.0,10574.0,10352.0,11670.0,10136.0,9903.0,10189.0,,Hunts Point Av_3158343.0
41,bx042,Intervale Av,Intervale Av,2 5,2 5,1.0,36005.0,40.822181,-73.896736,826760.0,870362.0,870466.0,908596.0,902216.0,937280.0,1048501.0,1095221.0,1039265.0,1061240.0,1045483.0,943016.0,2640.0,2775.0,2785.0,2951.0,2974.0,3121.0,3420.0,3571.0,3472.0,3423.0,3377.0,3130.0,2828.0,2940.0,2937.0,2908.0,2698.0,2853.0,3239.0,3388.0,2832.0,3435.0,3431.0,2666.0,,Intervale Av_1048501.0
42,bx043,Jackson Av,Jackson Av,2 5,2 5,1.0,36005.0,40.81649,-73.907807,1527291.0,1600588.0,1558808.0,1624212.0,1573302.0,1520612.0,1686061.0,1753555.0,1731638.0,1802193.0,1794781.0,1597307.0,4860.0,5089.0,4961.0,5249.0,5110.0,5060.0,5432.0,5631.0,5705.0,5752.0,5766.0,5288.0,5303.0,5455.0,5357.0,5272.0,5038.0,4578.0,5497.0,5780.0,5063.0,6071.0,6011.0,4553.0,,Jackson Av_1686061.0
43,bx044,Kingsbridge Rd,Kingsbridge Rd,4,4,1.0,36005.0,40.86776,-73.897174,1557595.0,2754063.0,2892922.0,3037572.0,3169615.0,3173688.0,3198725.0,3149605.0,3171646.0,3126119.0,3024692.0,2783082.0,5049.0,8980.0,9320.0,9754.0,10153.0,10377.0,10431.0,10231.0,10107.0,9998.0,9783.0,8992.0,4956.0,8382.0,9515.0,10229.0,10902.0,10587.0,9915.0,9927.0,10965.0,10531.0,9858.0,9045.0,x,Kingsbridge Rd_3198725.0
44,bx045,Kingsbridge Rd,Kingsbridge Rd,B D,B D,1.0,36005.0,40.866978,-73.893509,2677855.0,2475092.0,2337672.0,2285401.0,2275576.0,2255556.0,2390749.0,2562374.0,2530782.0,2566076.0,2589970.0,2475107.0,8502.0,7788.0,7417.0,7208.0,7189.0,7184.0,7422.0,7975.0,8006.0,8144.0,8237.0,7922.0,9414.0,8857.0,8183.0,8248.0,8236.0,8373.0,9193.0,9756.0,8995.0,8903.0,9086.0,8380.0,,Kingsbridge Rd_2390749.0
45,bx046,Longwood Av,Longwood Av,6,6,1.0,36005.0,40.816104,-73.896435,1031697.0,1042782.0,982290.0,1026772.0,1067960.0,1065764.0,1087990.0,1098022.0,1088970.0,1081519.0,1084049.0,1040934.0,3346.0,3352.0,3228.0,3273.0,3418.0,3476.0,3494.0,3531.0,3482.0,3517.0,3518.0,3395.0,3300.0,3403.0,2906.0,3540.0,3659.0,3589.0,3635.0,3640.0,3692.0,3365.0,3487.0,3239.0,,Longwood Av_1087990.0
46,bx047,Middletown Rd,Middletown Rd,6,6,1.0,36005.0,40.843863,-73.836322,487759.0,526567.0,523950.0,546692.0,559746.0,566771.0,441950.0,661242.0,795762.0,598447.0,609861.0,595044.0,1682.0,1796.0,1802.0,1883.0,1916.0,1969.0,1514.0,2273.0,2726.0,2066.0,2102.0,2036.0,1099.0,1243.0,1195.0,1249.0,1346.0,1372.0,1039.0,1528.0,1879.0,1315.0,1403.0,1415.0,x,Middletown Rd_441950.0
47,bx048,Morris Park,Morris Park,5,5,1.0,36005.0,40.854364,-73.860495,550547.0,570262.0,524382.0,535823.0,554320.0,589170.0,631930.0,621945.0,629282.0,677899.0,685577.0,668423.0,1885.0,1957.0,1873.0,1871.0,1966.0,2083.0,2210.0,2253.0,2319.0,2487.0,2527.0,2417.0,1299.0,1291.0,848.0,1096.0,994.0,1255.0,1268.0,874.0,679.0,779.0,802.0,955.0,,Morris Park_631930.0
48,bx049,Morrison Av-Soundview,Morrison Av-Soundview,6,6,1.0,36005.0,40.829521,-73.874516,1879569.0,2025425.0,1982168.0,730517.0,3028145.0,2057570.0,2096942.0,2125383.0,2097203.0,2135920.0,2125767.0,1988053.0,5956.0,6352.0,6225.0,2304.0,9603.0,6582.0,6588.0,6669.0,6628.0,6755.0,6742.0,6361.0,6627.0,7339.0,7226.0,2560.0,10882.0,7494.0,7664.0,7810.0,7447.0,7520.0,7540.0,6748.0,x,Morrison Av-Soundview_2096942.0
49,bx050,Mosholu Pkwy,Mosholu Pkwy,4,4,1.0,36005.0,40.87975,-73.884655,2155241.0,2539286.0,2794992.0,2913786.0,2961522.0,2906150.0,2917501.0,2886764.0,2891451.0,2836370.0,2695090.0,2531607.0,7103.0,8468.0,9078.0,9439.0,9578.0,9596.0,9588.0,9459.0,9252.0,9135.0,8770.0,8195.0,6368.0,6825.0,8843.0,9412.0,9738.0,9261.0,8681.0,8721.0,9816.0,9256.0,8527.0,8164.0,x,Mosholu Pkwy_2917501.0
