tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
1686061.0,1753555.0,1731638.0,1802193.0,1794781.0,1597307,5432.0,5631.0,5705.0,5752.0,5766,5288,Jackson Av,2 5,5497.0,5780.0,5063.0,6071.0,6011,4553
3198725.0,3149605.0,3171646.0,3126119.0,3024692.0,2783082,10431.0,10231.0,10107.0,9998.0,9783,8992,Kingsbridge Rd,4,9915.0,9927.0,10965.0,10531.0,9858,9045
2390749.0,2562374.0,2530782.0,2566076.0,2589970.0,2475107,7422.0,7975.0,8006.0,8144.0,8237,7922,Kingsbridge Rd,B D,9193.0,9756.0,8995.0,8903.0,9086,8380
1087990.0,1098022.0,1088970.0,1081519.0,1084049.0,1040934,3494.0,3531.0,3482.0,3517.0,3518,3395,Longwood Av,6,3635.0,3640.0,3692.0,3365.0,3487,3239
441950.0,661242.0,795762.0,598447.0,609861.0,595044,1514.0,2273.0,2726.0,2066.0,2102,2036,Middletown Rd,6,1039.0,1528.0,1879.0,1315.0,1403,1415
631930.0,621945.0,629282.0,677899.0,685577.0,668423,2210.0,2253.0,2319.0,2487.0,2527,2417,Morris Park,5,1268.0,874.0,679.0,779.0,802,955
2096942.0,2125383.0,2097203.0,2135920.0,2125767.0,1988053,6588.0,6669.0,6628.0,6755.0,6742,6361,Morrison Av-Soundview,6,7664.0,7810.0,7447.0,7520.0,7540,6748
2917501.0,2886764.0,2891451.0,2836370.0,2695090.0,2531607,9588.0,9459.0,9252.0,9135.0,8770,8195,Mosholu Pkwy,4,8681.0,8721.0,9816.0,9256.0,8527,8164
1848483.0,1824861.0,1844131.0,1824478.0,1708790.0,1652407,5995.0,5891.0,5817.0,5770.0,5512,5337,Mt Eden Av,4,5851.0,5899.0,6623.0,6435.0,5612,5360
1195804.0,1183733.0,1162973.0,1131328.0,1085289.0,1034335,3878.0,3850.0,3817.0,3753.0,3631,3437,Nereid Av,2 5,3841.0,3725.0,3501.0,3188.0,2933,2923
2569581.0,2709761.0,2750124.0,2805984.0,2723506.0,2611874,8043.0,8466.0,8640.0,8897.0,8751,8429,Norwood-205 St,D,9562.0,10155.0,10070.0,9797.0,9127,8534
5215409.0,5586943.0,5224959.0,5201901.0,5071740.0,4836244,16614.0,17746.0,16572.0,16561.0,16310,15660,Parkchester,6,18063.0,19613.0,18457.0,17932.0,17051,15597
2096130.0,2318533.0,2337689.0,2208725.0,2207720.0,2146552,6772.0,7442.0,7432.0,7213.0,7185,7001,Pelham Bay Park,6,6804.0,7778.0,8134.0,6733.0,6991,6675
3028494.0,3084862.0,3066190.0,2955589.0,2849210.0,2639586,9614.0,9688.0,9774.0,9441.0,9173,8472,Pelham Pkwy,2 5,10637.0,11322.0,10586.0,10022.0,9452,8836
919689.0,907735.0,894727.0,897374.0,869177.0,844884,3254.0,3304.0,3303.0,3332.0,3237,3083,Pelham Pkwy,5,1673.0,1210.0,944.0,858.0,866,1084
